noticia_id,tema_id,score,fecha_asignacion
119,12,1,2026-03-06 20:41:20
122,11,1,2026-03-06 20:41:20
123,3,1,2026-03-06 20:41:20
124,1,1,2026-03-06 20:41:20
128,3,1,2026-03-06 20:41:20
128,11,1,2026-03-06 20:41:20
132,3,1,2026-03-06 20:41:20
132,4,1,2026-03-06 20:41:20
132,10,1,2026-03-06 20:41:20
137,1,1,2026-03-06 20:41:20
137,11,1,2026-03-06 20:41:20
137,12,1,2026-03-06 20:41:20
141,2,1,2026-03-06 20:41:20
143,2,1,2026-03-06 20:41:20
145,1,1,2026-03-06 20:41:20
147,12,1,2026-03-06 20:41:20
149,1,1,2026-03-06 20:41:20
151,1,1,2026-03-06 20:41:20
151,12,1,2026-03-06 20:41:20
156,2,1,2026-03-06 20:41:20
157,1,1,2026-03-06 20:41:20
158,11,1,2026-03-06 20:41:20
167,1,1,2026-03-06 20:41:21
169,1,1,2026-03-06 20:41:21
171,2,1,2026-03-06 20:41:21
172,2,1,2026-03-06 20:41:21
175,12,1,2026-03-06 20:41:21
176,2,1,2026-03-06 20:41:21
177,2,1,2026-03-06 20:41:21
177,4,1,2026-03-06 20:41:21
179,1,1,2026-03-06 20:41:21
179,12,1,2026-03-06 20:41:21
180,4,1,2026-03-06 20:41:21
180,10,1,2026-03-06 20:41:21
183,11,1,2026-03-06 20:41:21
189,1,1,2026-03-06 20:41:21
190,2,1,2026-03-06 20:41:21
192,1,1,2026-03-06 20:41:21
192,2,1,2026-03-06 20:41:21
195,2,1,2026-03-06 20:41:21
199,1,1,2026-03-06 20:41:21
199,2,1,2026-03-06 20:41:21
205,3,1,2026-03-06 20:41:21
217,11,1,2026-03-06 20:41:21
220,12,1,2026-03-06 20:41:21
223,12,1,2026-03-06 20:41:22
224,2,1,2026-03-06 20:41:22
225,12,1,2026-03-06 20:41:22
233,2,1,2026-03-06 20:41:22
237,11,1,2026-03-06 20:41:22
247,2,1,2026-03-06 20:41:22
253,12,1,2026-03-06 20:41:22
256,12,1,2026-03-06 20:41:22
257,1,1,2026-03-06 20:41:22
257,11,1,2026-03-06 20:41:22
337,1,1,2026-03-06 20:41:22
337,11,1,2026-03-06 20:41:22
350,1,1,2026-03-06 20:41:22
350,11,1,2026-03-06 20:41:22
352,2,1,2026-03-06 20:41:22
357,3,1,2026-03-06 20:41:22
357,4,1,2026-03-06 20:41:22
357,10,1,2026-03-06 20:41:22
358,1,1,2026-03-06 20:41:22
361,12,1,2026-03-06 20:41:23
466,1,1,2026-03-06 20:41:23
486,12,1,2026-03-06 20:41:23
587,3,1,2026-03-06 20:41:23
707,1,1,2026-03-06 20:41:23
821,3,1,2026-03-06 20:41:23
830,11,1,2026-03-06 20:41:23
959,11,1,2026-03-06 20:41:23
975,12,1,2026-03-06 20:41:23
992,4,1,2026-03-06 20:41:23
996,11,1,2026-03-06 20:41:23
1000,11,1,2026-03-06 20:41:23
